owner,NAMASTE
FYMawfTKZ72g4xh74cVSfgG4mZJq6AQXsYZgE5tCFt4V,8
D1xyTj5f1nfeYsu4TzuhACcvmhPrmvFhXRm8FTWDf3i1,2
7VDFATFCbZuQkaonbBGTUr6b4HxGM5KpKoh13cEoAiGL,1
6Xko7oi2Z6gmaAPaGTdtkPyUW8HxGpGiLcPi8SfkHmub,1
F3XFAGTzpFj8JxXisLi7tVHdRe9iFsgyBdtkezisb9iG,1
HAyiLuayxwgJvwZL5RURjLxq6NAdts4cBPuSVdiyQjaQ,3
9CMnpG5MVmR6rkJ7rGHuuKvkejN8iC7G3VeJFNs4KwdJ,11
7r5JiuQETrP3cNZNQa36E1DeUBdTUEphtvnWUbt2qajY,1
9mqYXGxpmpuiHP88NmFmryAHxBUV4mNoG4Q4CSKJZxHn,1
46FSvTSTKZxLcQc9MiD1y8BNg6T2HWn7DHFZMJmpq888,1
GYY7C4yTXpAEXYP6KddVED9sXb1FhT8DfL2AXtPstiJF,2
6vxtECSd17JUM7ybX6Eb88oGVDxh9hyqsJPXWNJ4bFLf,2
3VHzFq9xd53n84Nw91nVzAn4Gm7dgsUYqYhqUNRku2y9,1
Ya5sQXu7Q6bjp8KWv2FfaBe6feRqmvCx92GDtcd2eMS,1
4ho2aJomMau8pqLRAZNF4HVYpcSZLrnaAFLvgFHZH7VG,1
HTmwdif75ny1uGEK5s28nmLyALQgUuHBZCkLq51mdhMs,1
y822Suse4UuKwRcC6ZmfiZbLqijjqQESJtEzgriEcrv,1
2jthGic7E5XEoWEXPUDmwhTdbGHX6FFUs3ZsxhvDrXzm,1
Hy1o46aJbZvGPCb1bjwMrpNZ7bM7jHhxnaoh9HbaWkXy,1
DdTFUM7kT76PkqFkDVxTTcp9nJ7v616uQx6ygJeBTKTo,8
B7GyXqqDmQdBgzsofnyB1zVnX9J3cmBQ4REYWDyupcwT,12
EYsLXhd8JtR5NA9aviSyDcJ2RVM6dzPePRydrP8TmpT4,2
4fhhCU8znhghbePJ1597SeULjNjWCTMVGDZYwhru1TCA,1
D3wHtrQi35fQLAKd9VSqwemTikGPYYRtX1epHKtWNA5A,1
DMf4vcsw8cX5khU7vn2SJFv3UDVoN8DjfnbLXg6QLaVT,1
Gnsbz9w1u5ECnZL1X6KRq5TXHMW4dtAyDk5QHEmcXXaf,1
A4BGcSjPatFv19B66VngRCifSx2hcDx3SFPzAoSCeQBY,2
H278PekRws2BnBUBfqfjTUTaGVxTst2pt92Hv1Tkj2yM,1
ABD3YXPJcYKoikFebia9dtJ1rDpa9cEySckCFay27KP3,1
Hze1JSomp9FTDXtmV25n9QAzYQqakpS2BcZKLVs8NAAy,1
GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv,21
AxcswTmFFqCihtynq6c21MKzLRuHw1EvJFJA8nob7nQU,1
3XGD1m1rAo1JrVxU9s6T51XyaoMxKEzwUqGVQfb2xa4C,2
AnuFP3xM9MQNJFjoFHZ73hANPPSb8um9tWPuNTEKqysi,1
5f6tWdNKTB8H7ATGXc2BY1eZHrLSpgFLcr5mZd2GH7zZ,1
3z7Et8onqm7CBkYcVP3p47fn7hGFDBVzTJbMmA2n22LW,1
s8EZdFoi1BpyZMRhhXQUHx3vLyeJKFmVZGR5pkjL48D,1
AZDajJyRXTRu9gfCTFZgJTkqvQHBtA7W3ab4y5TdCbew,1
8ow3SpPDVVgchvpm15ynwW4Y8vGK1BhGvfF4eRca3k2A,1
BcjL5DztuX3kE6GyGaCcuCAMC4uacANPPqMGRZom2HyZ,1
DKM46yeSQVfqj3aPGYasSpiwrXPXLRykgHXb9UcwmQKj,1
4J9gQApYXZYXjGjknnMPihwWHeAL2EFGKxbpJJxBNbXX,1
5xgz7uiKh6MbmJvGC8SzG3sS57xD2pduMPuwNp8dq1Dc,1
5KkFrNatpyej9BnxbFQmT1GTkcHx7tK4tBSdUEa18Vpa,1
Aetgffeuii92PVsnAY4PsPW87FcTnKZiMxtgDrLZTFyH,11
5BHfQ6gQkDMwNjMNZ6j3x1gUai6rNN1vYRBfw8BQrVfT,1
EtWBnjfHhCE6tq2YNJBMs1aD4VaGhRypzL8Kvfvy31F1,10
3GV6XpU6zuu3EzByqp7V3arFGA494tyokT1EjWXepmnU,1
HYhTsXziCYUWbEHz6DrWTDdQioRtUakpdV5JCecjpTmX,1
GxLbr8WeH3f7CtsLFKc8YZpTQDXSt4ZR7Y1UxcmEgAEw,3
6aRj21mFEjXeDcXaA3KWCKDB2ZM4MhiMXSWEeAjoPpuL,1
Fvo7vfSWGqe7JeipR5LczVTgGd4YPQQu3BCF4eiLeAUR,1
E9PrgmVxP3JyitSkMTsBgnHAdtykyEeqbLpng1t6Nk78,1
4id1Bi2zoj3N2rA5MRLmdDGrGQjRG3x2tAwPZuZtakme,1
2iqQzjqgXVhKy27BEWtmA1V3wfN9TtxFnpNFXWZ5o6ih,1
CEJkxfAMDdCZu3Ei6fgFXRjzfGSBV6YQ5FK2ev7TywFw,1
H1iMNhqwTbiq2ygkrDRVjBRZYf17ZhPqu3R6Z24XdeAv,1
DjqM7QBcSaAdqnWQupPLhQXYXtwPQYv1XrwWtFVFMRZ2,1
ECLZTgMn1RgPUW8RrVt3cqW45zqXztcL1AThLKym9kh,1
63swPVKEU2xX72fGjNBLGoYyzC67SErWxZehG3X72CMd,1
4FB8cEwhL3Ki85wS247dHx7jJaD73sAkv8QcX7gjzaMk,1
AyrZMKDmhKi62KsTohwhNGsMDTuYS2B3r6avGSnZy5qz,1
7iWW4G3YQQD5Ejc9Hrb3hxecBuHpLJUeUga8SS2HZWzy,1
c5qwRQP9duk8MF9WC4aYKYa7sH7xLMqCVddd7E93cdz,1
B1JwjQLUZWcoyXhquyHFvgwDg9Lf5NW1DWq4GznP8VBq,2
AnycJxKYhQi14pwUB7Vc4xdL2ckV7tN5nAfmA1kP8Luy,1
AQxnc8M5eTBLAxydvnPVfnW6qPDrPuP8tpPqgei9strG,1
CUxB4DAS76FDXHXk1DX5oon5RJxNE3EBqVyQpdUZ28s8,1
5P2NAiHH5x8XkTvbNqLZFjX6JBHKaEsckep9vWug7VyB,1
Dsq8ZfE56d9LhdDLJQBFoQL6GkZdu3m9iGC5wc2smXyC,1
B9FYjTsrLjqRzZFUBiC3x2LdTE7GBNb6yPcjd8q43jm3,1
AKaJfz5XM2pS6geqiGqwqwBagY4faqA1TG7qqVdipCt1,1
3drnafq7HqismZpmH1Jp7d795jNgQucHX7e1ivjzXAXB,1
